Image,id,Name,price,Sale
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/01/fnd/PNA/fmt/png/ESS-Cap",052919_01,ESS Cap,20,20.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/09/fnd/PNA/fmt/png/ESS-Cap",052919_09,ESS Cap,20,14.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/18/fnd/PNA/fmt/png/ESS-Cap",052919_18,ESS Cap,20,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/052919/01/fnd/PNA/fmt/png/ESS-Cap",052919_01,ESS Cap,20,20.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/376296/08/sv01/fnd/PNA/fmt/png/Cell-Divide-Men's-Running-Shoes",376296_08,Cell Divide Men's Running Shoes,85,34.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/376296/07/sv01/fnd/PNA/fmt/png/Cell-Divide-Men's-Running-Shoes",376296_07,Cell Divide Men's Running Shoes,85,34.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/376296/03/sv01/fnd/PNA/fmt/png/Cell-Divide-Men's-Running-Shoes",376296_03,Cell Divide Men's Running Shoes,85,34.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/01/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_01,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/02/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_02,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/03/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_03,Essentials Men's Logo Tee,25,9.99
